 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,16-1_10min:n_7_t_49:_10000,2104.939,255,0,255,255,255,349.601,673.246,349.601,673.246,198.068,311.46,652.5,75.69,48.72,68.509,39.12,18.668,0.674,78.073,536759.419,255,NaN,NaN,100,709155,1,311.46,672.51,14.191,43.808,1.751,0.571,0.956
2,16-1_10min:n_7_t_49:_10001,1924.04,255,0,255,255,255,350.7,673.483,350.7,673.483,182.371,321.03,652.5,64.38,48.72,63.529,38.561,26.311,0.727,68.906,490630.149,255,NaN,NaN,100,648210,2,322.77,681.21,24.624,43.063,1.648,0.607,0.962
3,16-1_10min:n_7_t_50:_10002,1832.455,255,0,255,255,255,353.93,672.938,353.93,672.938,181.141,325.38,651.63,62.64,49.59,65.359,35.698,32.703,0.702,69.736,467275.999,255,NaN,NaN,100,617355,3,334.95,696.87,40.446,38.203,1.831,0.546,0.955
4,16-1_10min:n_7_t_50:_10003,1802.179,255,0,255,255,255,357.138,671.055,357.138,671.055,184.534,328.86,647.28,62.64,53.07,71.399,32.138,34.387,0.665,72.602,459555.619,255,NaN,NaN,100,607155,4,338.43,698.61,44.029,34.949,2.222,0.45,0.944
5,16-1_10min:n_7_t_54:_10004,1767.361,255,0,255,255,255,362.542,667.713,362.542,667.713,185.131,334.95,643.8,60.03,53.94,72.53,31.025,36.308,0.648,74.501,450677.182,255,NaN,NaN,100,595425,5,339.3,696.87,42.634,33.482,2.338,0.428,0.921
6,16-1_10min:n_7_t_61:_10005,2190.469,255,0,255,255,255,366.711,667.376,366.711,667.376,211.988,333.21,643.8,76.56,55.68,85.253,32.714,31.749,0.613,85.901,558569.493,255,NaN,NaN,100,737970,6,338.43,696.87,33.851,34.28,2.606,0.384,0.92
7,16-1_10min:n_7_t_61:_10006,2204.093,255,0,255,255,255,370.116,665.695,370.116,665.695,220.178,336.69,639.45,76.56,60.03,85.193,32.941,34.34,0.571,90.518,562043.664,255,NaN,NaN,100,742560,7,339.3,698.61,35.218,34.655,2.586,0.387,0.896
8,16-1_10min:n_7_t_61:_10007,2265.402,255,0,255,255,255,377.505,662.05,377.505,662.05,227.56,341.04,636.84,80.04,60.03,86.699,33.269,32.033,0.55,94.105,577677.433,255,NaN,NaN,100,763215,8,341.91,695.13,33.69,34.912,2.606,0.384,0.918
9,16-1_10min:n_7_t_61:_10008,2229.827,255,0,255,255,255,381.159,659.883,381.159,659.883,221.831,342.78,634.23,78.3,60.9,83.262,34.098,33.801,0.569,92.662,568605.987,255,NaN,NaN,100,751230,9,342.78,694.26,34.287,37.623,2.442,0.41,0.923
10,16-1_10min:n_7_t_61:_10009,2229.827,255,0,255,255,255,381.159,659.883,381.159,659.883,221.831,342.78,634.23,78.3,60.9,83.262,34.098,33.801,0.569,92.662,568605.987,255,NaN,NaN,100,751230,10,342.78,694.26,34.287,37.623,2.442,0.41,0.923
11,16-1_10min:n_7_t_61:_10010,2568.919,255,0,255,255,255,393.405,654.217,393.405,654.217,231.004,349.74,625.53,76.56,62.64,81.968,39.904,30.066,0.605,93.479,655074.243,255,NaN,NaN,100,865470,11,349.74,687.3,38.577,44.576,2.054,0.487,0.887
12,16-1_10min:n_7_t_61:_10011,2983.7,255,0,255,255,255,404.072,651.18,404.072,651.18,245.382,355.83,617.7,83.52,61.77,80.7,47.075,27.212,0.623,92.809,760843.449,255,NaN,NaN,100,1005210,12,355.83,678.6,30.411,53.955,1.714,0.583,0.887
13,16-1_10min:n_7_t_61:_10012,2507.61,255,0,255,255,255,416.293,647.615,416.293,647.615,196.204,381.93,616.83,62.64,59.16,62.308,51.242,37.064,0.819,63.51,639440.473,255,NaN,NaN,100,844815,13,392.37,668.16,48.888,51.576,1.216,0.822,0.94
14,16-1_10min:n_7_t_61:_10013,2615.846,255,0,255,255,255,416.213,648.648,416.213,648.648,209.913,380.19,616.83,65.25,58.29,69.086,48.21,29.857,0.746,75.214,667040.832,255,NaN,NaN,100,881280,14,381.06,670.77,41.248,50.142,1.433,0.698,0.919
15,16-1_10min:n_7_t_61:_10014,2398.616,255,0,255,255,255,422.781,648.457,422.781,648.457,231.303,378.45,609.87,70.47,66.12,68.683,44.465,37.042,0.563,78.998,611647.106,255,NaN,NaN,100,808095,15,378.45,660.33,36.491,51.945,1.545,0.647,0.787
16,16-1_10min:n_7_t_61:_10015,2154.894,255,0,255,255,255,430.023,651.6,430.023,651.6,233.676,393.24,607.26,59.16,76.56,66.337,41.36,64.984,0.496,77.815,549498.046,255,NaN,NaN,100,725985,16,421.95,683.82,79.695,54.252,1.604,0.623,0.73
17,16-1_10min:n_7_t_61:_10016,1706.053,255,0,255,255,255,427.991,646.424,427.991,646.424,233.938,385.41,607.26,66.99,65.25,65.893,32.966,53.708,0.392,78.686,435043.413,255,NaN,NaN,100,574770,17,385.41,662.94,35.096,49.313,1.999,0.5,0.617
18,16-1_10min:n_7_t_61:_10017,473.062,255,0,255,255,255,427.114,657.941,427.114,657.941,97.935,405.42,643.8,35.67,23.49,34.945,17.236,25.572,0.62,38.536,120630.938,255,NaN,NaN,100,159375,18,405.42,663.81,28.301,19.114,2.027,0.493,0.889
19,16-1_10min:n_7_t_61:_10018,2235.126,255,0,255,255,255,443.937,654.888,443.937,654.888,267.493,400.2,608.13,68.73,79.17,64.308,44.253,70.507,0.393,80.877,569957.054,255,NaN,NaN,100,753015,19,437.61,608.13,101.793,61.649,1.453,0.688,0.632
20,16-1_10min:n_7_t_61:_10019,2191.982,255,0,255,255,255,450.515,655.106,450.515,655.106,221.707,426.3,611.61,42.63,83.52,81.344,34.31,84.794,0.56,84.672,558955.512,255,NaN,NaN,100,738480,20,438.48,611.61,99.462,40.293,2.371,0.422,0.808
21,16-1_10min:n_1_t_32:_10020,1631.876,255,0,255,255,255,454.694,649.071,454.694,649.071,194.217,435.87,609.87,34.8,73.08,72.978,28.471,86.147,0.544,73.709,416128.482,255,NaN,NaN,100,549780,21,442.83,610.74,101.575,33.259,2.563,0.39,0.799
22,16-1_10min:n_1_t_32:_10021,1792.339,255,0,255,255,255,456.896,659.809,456.896,659.809,232.46,443.7,609.87,26.1,95.7,103.102,22.134,90.269,0.417,96.472,457046.496,255,NaN,NaN,100,603840,22,444.57,609.87,97.253,26.1,4.658,0.215,0.801
23,16-1_10min:n_1_t_31:_10022,2138.999,255,0,255,255,255,459.92,664.668,459.92,664.668,253.238,435.87,609.87,44.37,93.09,87.779,31.026,95.632,0.419,94.185,545444.847,255,NaN,NaN,100,720630,23,446.31,610.74,101.725,44.37,2.829,0.353,0.692
24,16-1_10min:n_1_t_31:_10023,1712.865,255,0,255,255,255,462.468,661.537,462.468,661.537,238.649,441.09,610.74,41.76,93.96,95.618,22.808,101.579,0.378,94.986,436780.498,255,NaN,NaN,100,577065,24,453.27,610.74,98.427,32.554,4.192,0.239,0.71
25,16-1_10min:n_1_t_31:_10024,1427.513,255,0,255,255,255,461.773,652.922,461.773,652.922,220.739,441.09,608.13,37.41,91.35,91.058,19.96,102.738,0.368,91.85,364015.917,255,NaN,NaN,100,480930,25,454.14,608.13,95.981,26.599,4.562,0.219,0.712
26,16-1_10min:n_1_t_32:_10025,2711.973,255,0,255,255,255,474.378,670.968,474.378,670.968,280.357,442.83,612.48,63.51,99.18,95.22,36.263,111.561,0.434,105.338,691553.038,255,NaN,NaN,100,913665,26,447.18,613.35,112.329,51.614,2.626,0.381,0.71
27,16-1_10min:n_1_t_32:_10026,1381.342,255,0,255,255,255,471.128,660.959,471.128,660.959,235.802,445.44,613.35,41.76,93.96,88.229,19.934,103.55,0.312,97.754,352242.337,255,NaN,NaN,100,465375,27,449.79,613.35,106.015,28.731,4.426,0.226,0.62
28,16-1_10min:n_1_t_33:_10027,1927.824,255,0,255,255,255,487.338,673.628,487.338,673.628,245.295,454.14,619.44,60.03,91.35,81.927,29.961,114.099,0.403,98.713,491595.196,255,NaN,NaN,100,649485,28,455.01,619.44,112.27,42.675,2.735,0.366,0.713
29,16-1_10min:n_1_t_33:_10028,1650.799,255,0,255,255,255,482.975,672.613,482.975,672.613,242.077,455.01,619.44,46.11,89.61,83.471,25.181,107.882,0.354,98.863,420953.72,255,NaN,NaN,100,556155,29,456.75,619.44,114.986,36.445,3.315,0.302,0.658
30,16-1_10min:n_1_t_34:_10029,2674.128,255,0,255,255,255,494.008,676.865,494.008,676.865,291.379,455.01,618.57,78.3,93.09,77.516,43.924,124.414,0.396,103.123,681902.564,255,NaN,NaN,100,900915,30,456.75,618.57,115.484,62.247,1.765,0.567,0.654
31,16-1_10min:n_1_t_33:_10030,1650.799,255,0,255,255,255,482.975,672.613,482.975,672.613,242.077,455.01,619.44,46.11,89.61,83.471,25.181,107.882,0.354,98.863,420953.72,255,NaN,NaN,100,556155,31,456.75,619.44,114.986,36.445,3.315,0.302,0.658
32,16-1_10min:n_1_t_35:_10031,1416.917,255,0,255,255,255,504.454,670.521,504.454,670.521,227.895,466.32,631.62,68.73,70.47,59.541,30.3,131.146,0.343,81.558,361313.784,255,NaN,NaN,100,477360,32,466.32,631.62,123.69,48.913,1.965,0.509,0.6
33,16-1_10min:n_2_t_4:_10032,1877.112,255,0,255,255,255,520.365,683.761,520.365,683.761,231.637,489.81,652.5,55.68,66.12,59.308,40.299,83.492,0.44,71.218,478663.56,255,NaN,NaN,100,632400,33,490.68,652.5,115.313,54.295,1.472,0.679,0.688
34,16-1_10min:n_2_t_4:_10033,1572.838,255,0,255,255,255,530.443,678.365,530.443,678.365,215.519,499.38,649.02,48.72,65.25,60.384,33.164,91.176,0.426,69.801,401073.741,255,NaN,NaN,100,529890,34,513.3,714.27,67.27,48.286,1.821,0.549,0.651
35,16-1_10min:n_2_t_5:_10034,1678.804,255,0,255,255,255,540.03,675.075,540.03,675.075,252.306,501.99,645.54,56.55,69.6,59.628,35.848,86.36,0.331,78.208,428095.071,255,NaN,NaN,100,565590,35,515.91,715.14,62.865,56.003,1.663,0.601,0.564
