Image Name,Image Plane,Image Date and Time,Elapsed Time,Stage Label,Wavelength,Object #,Frame #,X,Y,Distance,Time Interval,Velocity,Absolute Angle,Distance To Origin,Delta X,Delta Y,Avgerage Intensity,Intensity S.D.,Minimum Intensity,Maximum Intensity,Total Intensity
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,1,1,71.99329376,122.0117722,0,0,0,0,141.6682988,0,0,21746.9775,3932.320811,10720,32296,8698791
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,2,1,159.5507355,117.0622787,0,0,0,0,197.8888938,0,0,24849.15,14355.04965,8542,59566,9939660
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,3,1,32.00814438,281.9997559,0,0,0,0,283.8104713,0,0,23753.7775,3532.3402,13108,31568,9501511
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,4,1,93.96974182,278.0385132,0,0,0,0,293.4888877,0,0,20802.645,5925.701934,8062,31715,8321058
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,5,1,239.7540588,159.9444733,0,0,0,0,288.2086801,0,0,23461.0325,8993.206793,10291,48264,9384413
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,6,1,269.803009,136.8026581,0,0,0,0,302.5039354,0,0,20732.2925,10206.5664,8278,59878,8292917
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,7,1,283.4578857,204.3139954,0,0,0,0,349.4174891,0,0,25811.92,14675.52568,9093,56374,10324768
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,8,1,166.2393188,535.8757935,0,0,0,0,561.0689593,0,0,21289.3525,6163.731067,9378,38684,8515741
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,9,1,209.8570557,535.1118774,0,0,0,0,574.79101,0,0,27457.145,13173.97716,9358,59439,10982858
20180515EF300XY12T,1,17:03.3,00:00.0,No Label,0,10,1,262.9768372,552.0161133,0,0,0,0,611.456136,0,0,23690.1175,5658.881902,8208,41825,9476047
